Rk,Player,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
1,Patrick Baldwin Jr.,2022-23,20,GSW,3,0,0,11,0,3,0,0,0,3,0,0,0,3,3,1,0,0,0,0,0,0,,0,,0,0,G-F
2,Stephen Curry,2022-23,34,GSW,13,13,1,493,145,311,88,154,57,157,49,58,9,58,67,79,13,6,42,34,396,0.466,0.571,0.363,0.845,0.588,0.558,G
3,Donte DiVincenzo,2022-23,26,GSW,13,1,0,235,24,64,9,20,15,44,8,12,11,28,39,36,11,3,17,20,71,0.375,0.45,0.341,0.667,0.512,0.492,G
4,Draymond Green,2022-23,32,GSW,12,9,0,367,42,91,37,71,5,20,24,33,19,64,83,82,18,12,27,48,113,0.462,0.521,0.25,0.727,0.535,0.489,F
5,JaMychal Green,2022-23,32,GSW,7,2,0,49,9,23,4,5,5,18,0,0,0,5,5,3,0,1,2,10,23,0.391,0.8,0.278,,0.5,0.5,F
6,Jonathan Kuminga,2022-23,20,GSW,10,0,0,61,13,24,10,17,3,7,5,9,4,5,9,5,2,0,4,5,34,0.542,0.588,0.429,0.556,0.608,0.604,F
7,Anthony Lamb,2022-23,25,GSW,6,0,0,31,2,5,1,1,1,4,0,0,1,5,6,0,1,1,2,3,5,0.4,1,0.25,,0.5,0.5,F
8,Kevon Looney,2022-23,26,GSW,13,8,0,325,37,64,37,64,0,0,10,18,61,109,170,43,8,5,13,36,84,0.578,0.578,,0.556,0.584,0.578,F-C
9,Moses Moody,2022-23,20,GSW,12,0,0,161,23,43,10,21,13,22,11,12,7,24,31,8,5,4,2,18,70,0.535,0.476,0.591,0.917,0.725,0.686,G
10,Gary Payton II,2022-23,30,GSW,12,3,0,192,36,54,32,39,4,15,6,9,22,22,44,9,8,6,11,19,82,0.667,0.821,0.267,0.667,0.707,0.704,G
11,Jordan Poole,2022-23,23,GSW,13,4,0,284,46,135,30,72,16,63,26,34,4,24,28,46,10,3,15,32,134,0.341,0.417,0.254,0.765,0.447,0.4,G
12,Klay Thompson,2022-23,32,GSW,13,13,0,468,85,219,35,83,50,136,21,24,1,53,54,29,7,4,26,28,241,0.388,0.422,0.368,0.875,0.525,0.502,G-F
13,Andrew Wiggins,2022-23,27,GSW,13,12,0,442,83,181,64,117,19,64,32,47,24,49,73,25,11,15,17,45,217,0.459,0.547,0.297,0.681,0.538,0.511,F-G
14,Nemanja Bjelica,2021-22,33,GSW,15,0,0,150,18,34,15,26,3,8,4,7,6,25,31,17,4,2,7,21,43,0.529,0.577,0.375,0.571,0.58,0.574,F
15,Stephen Curry,2021-22,33,GSW,22,18,1,764,202,440,111,211,91,229,107,129,11,104,115,129,29,8,57,59,602,0.459,0.526,0.397,0.829,0.606,0.563,G
16,Draymond Green,2021-22,31,GSW,22,22,1,703,69,144,61,105,8,39,30,47,26,133,159,138,25,22,59,87,176,0.479,0.581,0.205,0.638,0.534,0.507,F
17,Andre Iguodala,2021-22,38,GSW,7,0,0,61,4,9,3,6,1,3,2,3,3,4,7,12,0,2,4,11,11,0.444,0.5,0.333,0.667,0.533,0.5,F-G
