Rk,Player,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
1,Stephen Curry,2023-24,35,GSW,63,63,1,2062,557,1241,250,480,307,761,266,289,35,246,281,309,48,22,182,102,1687,0.449,0.521,0.403,0.92,0.617,0.573,G
2,Usman Garuba,2023-24,21,GSW,3,0,0,8,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,2,0,0,0,,,0,0,F
3,Draymond Green,2023-24,33,GSW,44,41,0,1184,150,310,109,205,41,105,49,65,63,257,320,267,35,40,108,132,390,0.484,0.532,0.39,0.754,0.576,0.55,F
4,Trayce Jackson-Davis,2023-24,23,GSW,56,5,0,824,180,249,180,249,0,0,58,105,101,150,251,62,17,56,36,93,418,0.723,0.723,,0.552,0.708,0.723,F
5,Cory Joseph,2023-24,32,GSW,26,0,0,296,23,64,10,22,13,42,4,7,6,24,30,42,4,3,12,25,63,0.359,0.455,0.31,0.571,0.47,0.461,G
6,Jonathan Kuminga,2023-24,21,GSW,68,42,0,1782,424,804,374,648,50,156,210,282,85,238,323,143,50,32,113,153,1108,0.527,0.577,0.321,0.745,0.597,0.558,F
7,Kevon Looney,2023-24,27,GSW,63,36,0,1056,119,199,119,198,0,1,46,69,126,238,364,124,24,22,45,138,284,0.598,0.601,0,0.667,0.619,0.598,F-C
8,Moses Moody,2023-24,21,GSW,54,8,0,924,157,344,104,182,53,162,56,71,56,106,162,39,37,23,36,67,423,0.456,0.571,0.327,0.789,0.564,0.533,G
9,Chris Paul,2023-24,38,GSW,45,14,0,1201,161,362,97,196,64,166,40,48,17,162,179,315,54,3,51,84,426,0.445,0.495,0.386,0.833,0.556,0.533,G
10,Gary Payton II,2023-24,31,GSW,34,0,0,507,73,138,57,94,16,44,11,18,40,50,90,34,30,11,21,55,173,0.529,0.606,0.364,0.611,0.593,0.587,G
11,Brandin Podziemski,2023-24,20,GSW,61,26,0,1648,226,506,149,303,77,203,45,73,98,254,352,237,54,13,78,104,574,0.447,0.492,0.379,0.616,0.533,0.523,G
12,Lester Quinones,2023-24,23,GSW,31,0,0,362,48,121,21,46,27,75,18,27,20,49,69,31,6,2,16,41,141,0.397,0.457,0.36,0.667,0.531,0.508,G
13,Jerome Robinson,2023-24,26,GSW,17,0,0,65,8,25,6,11,2,14,6,10,1,4,5,5,0,3,1,4,24,0.32,0.545,0.143,0.6,0.408,0.36,G
14,Gui Santos,2023-24,21,GSW,18,0,0,151,19,40,12,21,7,19,14,15,15,29,44,11,3,2,7,18,59,0.475,0.571,0.368,0.933,0.633,0.563,F
15,Dario Šarić,2023-24,29,GSW,62,9,0,1080,177,381,104,187,73,194,76,89,71,206,277,142,30,9,74,111,503,0.465,0.556,0.376,0.854,0.599,0.56,F-C
16,Pat Spencer,2023-24,27,GSW,3,0,0,6,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,,,1,1,G
17,Klay Thompson,2023-24,33,GSW,66,53,0,1950,404,955,181,375,223,580,110,120,31,190,221,148,41,30,96,111,1141,0.423,0.483,0.384,0.917,0.566,0.54,G-F
18,Andrew Wiggins,2023-24,28,GSW,60,48,0,1606,291,641,220,441,71,200,105,144,99,166,265,101,34,30,68,125,758,0.454,0.499,0.355,0.729,0.538,0.509,F-G
19,Patrick Baldwin Jr.,2022-23,20,GSW,31,0,0,226,43,109,11,25,32,84,4,6,1,39,40,11,6,4,11,14,122,0.394,0.44,0.381,0.667,0.546,0.541,G-F
20,Stephen Curry,2022-23,34,GSW,56,56,1,1941,559,1133,286,494,273,639,257,281,39,302,341,352,52,20,179,117,1648,0.493,0.579,0.427,0.915,0.656,0.614,G
21,Donte DiVincenzo,2022-23,26,GSW,72,36,0,1894,235,540,85,162,150,378,58,71,80,245,325,252,97,10,112,133,678,0.435,0.525,0.397,0.817,0.593,0.574,G
22,Draymond Green,2022-23,32,GSW,73,73,0,2297,250,474,210,343,40,131,77,108,66,459,525,500,74,60,204,229,617,0.527,0.612,0.305,0.713,0.592,0.57,F
23,JaMychal Green,2022-23,32,GSW,57,1,0,797,136,252,94,141,42,111,52,67,72,133,205,51,25,23,52,105,366,0.54,0.667,0.378,0.776,0.65,0.623,F
24,Andre Iguodala,2022-23,39,GSW,8,0,0,113,7,15,6,6,1,9,2,3,3,14,17,19,4,3,9,11,17,0.467,1,0.111,0.667,0.521,0.5,F-G
25,Ty Jerome,2022-23,25,GSW,45,2,0,816,118,242,83,152,35,90,38,41,7,71,78,135,23,5,30,64,309,0.488,0.546,0.389,0.927,0.594,0.56,G
26,Jonathan Kuminga,2022-23,20,GSW,67,16,0,1394,261,497,207,351,54,146,90,138,70,161,231,125,41,31,95,157,666,0.525,0.59,0.37,0.652,0.597,0.579,F
27,Anthony Lamb,2022-23,25,GSW,62,4,0,1195,148,314,75,115,73,199,46,60,56,159,215,96,28,20,54,134,415,0.471,0.652,0.367,0.767,0.61,0.588,F
28,Kevon Looney,2022-23,26,GSW,82,70,0,1958,242,384,242,383,0,1,94,155,274,486,760,207,52,50,45,225,578,0.63,0.632,0,0.606,0.639,0.63,F-C
29,Moses Moody,2022-23,20,GSW,63,3,0,817,108,227,59,92,49,135,37,53,28,77,105,51,18,7,34,54,302,0.476,0.641,0.363,0.698,0.603,0.584,G
30,Gary Payton II,2022-23,30,GSW,7,0,0,112,17,28,13,19,4,9,2,3,14,16,30,8,6,4,4,14,40,0.607,0.684,0.444,0.667,0.682,0.679,G
31,Jordan Poole,2022-23,23,GSW,82,43,0,2458,550,1278,336,641,214,637,361,415,32,193,225,369,63,21,252,214,1675,0.43,0.524,0.336,0.87,0.573,0.514,G
32,Lester Quinones,2022-23,22,GSW,4,0,0,18,2,5,0,1,2,4,4,6,1,2,3,2,1,0,5,0,10,0.4,0,0.5,0.667,0.654,0.6,G
33,Ryan Rollins,2022-23,20,GSW,12,0,0,62,7,20,4,11,3,9,6,6,3,9,12,6,1,1,16,10,23,0.35,0.364,0.333,1,0.508,0.425,G
34,Klay Thompson,2022-23,32,GSW,69,69,0,2279,546,1252,245,521,301,731,116,132,39,247,286,163,49,29,123,130,1509,0.436,0.47,0.412,0.879,0.576,0.556,G-F
35,Andrew Wiggins,2022-23,27,GSW,37,37,0,1190,250,529,161,304,89,225,44,72,61,125,186,85,45,28,48,107,633,0.473,0.53,0.396,0.611,0.564,0.557,F-G
36,James Wiseman,2022-23,21,GSW,21,0,0,262,59,94,58,92,1,2,26,38,18,55,73,14,3,7,14,39,145,0.628,0.63,0.5,0.684,0.655,0.633,C
37,Nemanja Bjelica,2021-22,33,GSW,71,0,0,1143,160,342,106,193,54,149,59,81,62,232,294,159,41,26,87,128,433,0.468,0.549,0.362,0.728,0.573,0.547,F
38,Chris Chiozza,2021-22,26,GSW,34,1,0,372,24,81,7,28,17,53,2,3,9,27,36,65,13,0,32,32,67,0.296,0.25,0.321,0.667,0.407,0.401,G
39,Stephen Curry,2021-22,33,GSW,64,64,1,2211,535,1224,250,474,285,750,275,298,34,301,335,404,85,23,206,130,1630,0.437,0.527,0.38,0.923,0.601,0.554,G
40,Jeff Dowtin,2021-22,24,GSW,4,0,0,28,3,6,3,5,0,1,0,0,1,6,7,3,0,1,1,2,6,0.5,0.6,0,,0.5,0.5,G
41,Draymond Green,2021-22,31,GSW,46,44,1,1329,135,257,119,203,16,54,60,91,45,291,336,320,61,50,139,136,346,0.525,0.586,0.296,0.659,0.582,0.556,F
42,Andre Iguodala,2021-22,38,GSW,31,0,0,603,46,121,29,47,17,74,15,20,21,79,100,114,27,22,28,34,124,0.38,0.617,0.23,0.75,0.478,0.45,F-G
43,Jonathan Kuminga,2021-22,19,GSW,70,12,0,1185,236,460,186,311,50,149,130,190,54,180,234,64,31,22,74,146,652,0.513,0.598,0.336,0.684,0.6,0.567,F
44,Damion Lee,2021-22,29,GSW,63,5,0,1256,169,383,106,196,63,187,66,75,27,176,203,63,39,6,38,95,467,0.441,0.541,0.337,0.88,0.561,0.523,G
