Rk,Season▲,Team,W,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
1,2013-14,GSW,51,82,51,31,0.622,19830,3236,7005,2462,4968,774,2037,1303,1731,896,2819,3715,1912,642,407,1247,1784,8549,0.462,0.496,0.38,0.753,0.55,0.517
2,2014-15,GSW,67,82,67,15,0.817,19730,3410,7137,2527,4920,883,2217,1313,1709,853,2814,3667,2248,762,496,1185,1628,9016,0.478,0.514,0.398,0.768,0.571,0.54
3,2015-16,GSW,73,82,73,9,0.89,19880,3489,7159,2412,4567,1077,2592,1366,1790,816,2972,3788,2373,689,498,1245,1701,9421,0.487,0.528,0.416,0.763,0.593,0.563
4,2016-17,GSW,67,82,67,15,0.817,19780,3532,7140,2550,4578,982,2562,1457,1850,770,2873,3643,2491,785,555,1211,1585,9503,0.495,0.557,0.383,0.788,0.597,0.563
5,2017-18,GSW,58,82,58,24,0.707,19730,3509,6981,2583,4611,926,2370,1360,1668,691,2877,3568,2402,656,612,1267,1607,9304,0.503,0.56,0.391,0.815,0.603,0.569
6,2018-19,GSW,57,82,57,25,0.695,19805,3612,7361,2525,4537,1087,2824,1339,1672,797,2990,3787,2413,625,525,1169,1757,9650,0.491,0.557,0.385,0.801,0.596,0.565
7,2019-20,GSW,15,65,15,50,0.231,15725,2510,5730,1832,3698,678,2032,1214,1511,647,2138,2785,1663,534,299,969,1304,6912,0.438,0.495,0.334,0.803,0.54,0.497
8,2020-21,GSW,39,72,39,33,0.542,17305,2973,6347,1925,3558,1048,2789,1193,1520,574,2524,3098,1991,587,342,1080,1526,8187,0.468,0.541,0.376,0.785,0.583,0.551
9,2021-22,GSW,53,82,53,29,0.646,19730,3323,7087,2147,3856,1176,3231,1280,1665,800,2930,3730,2223,719,372,1221,1723,9102,0.469,0.557,0.364,0.769,0.582,0.552
10,2022-23,GSW,44,82,44,38,0.537,19830,3538,7393,2175,3853,1363,3540,1314,1655,864,2793,3657,2446,588,323,1336,1757,9753,0.479,0.564,0.385,0.794,0.6,0.571
11,2023-24,GSW,36,69,36,33,0.522,16710,3018,6382,1994,3660,1024,2722,1114,1432,865,2369,3234,2013,468,301,982,1365,8174,0.473,0.545,0.376,0.778,0.583,0.553
